,date,label
0,2010-01-04,neutral
1,2010-01-05,neutral
2,2010-01-06,neutral
3,2010-01-07,neutral
4,2010-01-08,neutral
5,2010-01-11,neutral
6,2010-01-12,neutral
7,2010-01-13,neutral
8,2010-01-14,neutral
9,2010-01-15,neutral
10,2010-01-19,neutral
11,2010-01-20,neutral
12,2010-01-21,neutral
13,2010-01-22,neutral
14,2010-01-25,neutral
15,2010-01-26,neutral
16,2010-01-27,neutral
17,2010-01-28,neutral
18,2010-01-29,neutral
19,2010-02-01,neutral
20,2010-02-02,neutral
21,2010-02-03,neutral
22,2010-02-04,neutral
23,2010-02-05,neutral
24,2010-02-08,neutral
25,2010-02-09,neutral
26,2010-02-10,neutral
27,2010-02-11,neutral
28,2010-02-12,neutral
29,2010-02-16,neutral
30,2010-02-17,neutral
31,2010-02-18,neutral
32,2010-02-19,neutral
33,2010-02-22,neutral
34,2010-02-23,neutral
35,2010-02-24,neutral
36,2010-02-25,neutral
37,2010-02-26,neutral
38,2010-03-01,neutral
39,2010-03-02,neutral
40,2010-03-03,neutral
41,2010-03-04,neutral
42,2010-03-05,neutral
43,2010-03-08,neutral
44,2010-03-09,neutral
45,2010-03-10,neutral
46,2010-03-11,neutral
47,2010-03-12,neutral
48,2010-03-15,neutral
49,2010-03-16,neutral
50,2010-03-17,neutral
51,2010-03-18,neutral
52,2010-03-19,neutral
53,2010-03-22,neutral
54,2010-03-23,neutral
55,2010-03-24,neutral
56,2010-03-25,neutral
57,2010-03-26,neutral
58,2010-03-29,neutral
59,2010-03-30,neutral
60,2010-03-31,neutral
61,2010-04-01,neutral
62,2010-04-05,neutral
63,2010-04-06,neutral
64,2010-04-07,neutral
65,2010-04-08,neutral
66,2010-04-09,neutral
67,2010-04-12,neutral
68,2010-04-13,neutral
69,2010-04-14,neutral
70,2010-04-15,neutral
71,2010-04-16,neutral
72,2010-04-19,neutral
73,2010-04-20,neutral
74,2010-04-21,neutral
75,2010-04-22,neutral
76,2010-04-23,neutral
77,2010-04-26,neutral
78,2010-04-27,neutral
79,2010-04-28,neutral
80,2010-04-29,neutral
81,2010-04-30,neutral
82,2010-05-03,neutral
83,2010-05-04,neutral
84,2010-05-05,neutral
85,2010-05-06,neutral
86,2010-05-07,neutral
87,2010-05-10,neutral
88,2010-05-11,neutral
89,2010-05-12,neutral
90,2010-05-13,neutral
91,2010-05-14,neutral
92,2010-05-17,neutral
93,2010-05-18,neutral
94,2010-05-19,neutral
95,2010-05-20,neutral
96,2010-05-21,neutral
97,2010-05-24,neutral
98,2010-05-25,neutral
99,2010-05-26,neutral
100,2010-05-27,neutral
101,2010-05-28,neutral
102,2010-06-01,neutral
103,2010-06-02,neutral
104,2010-06-03,neutral
105,2010-06-04,neutral
106,2010-06-07,neutral
107,2010-06-08,neutral
108,2010-06-09,neutral
109,2010-06-10,neutral
110,2010-06-11,neutral
111,2010-06-14,neutral
112,2010-06-15,neutral
113,2010-06-16,neutral
114,2010-06-17,neutral
115,2010-06-18,neutral
116,2010-06-21,neutral
117,2010-06-22,neutral
118,2010-06-23,neutral
119,2010-06-24,neutral
120,2010-06-25,neutral
121,2010-06-28,neutral
122,2010-06-29,neutral
123,2010-06-30,neutral
124,2010-07-01,neutral
125,2010-07-02,neutral
126,2010-07-06,neutral
127,2010-07-07,neutral
128,2010-07-08,neutral
129,2010-07-09,neutral
130,2010-07-12,neutral
131,2010-07-13,neutral
132,2010-07-14,neutral
133,2010-07-15,neutral
134,2010-07-16,neutral
135,2010-07-19,neutral
136,2010-07-20,neutral
137,2010-07-21,neutral
138,2010-07-22,neutral
139,2010-07-23,neutral
140,2010-07-26,neutral
141,2010-07-27,neutral
142,2010-07-28,neutral
143,2010-07-29,neutral
144,2010-07-30,neutral
145,2010-08-02,neutral
146,2010-08-03,neutral
147,2010-08-04,neutral
148,2010-08-05,neutral
149,2010-08-06,neutral
150,2010-08-09,neutral
151,2010-08-10,neutral
152,2010-08-11,neutral
153,2010-08-12,neutral
154,2010-08-13,neutral
155,2010-08-16,neutral
156,2010-08-17,neutral
157,2010-08-18,neutral
158,2010-08-19,neutral
159,2010-08-20,neutral
160,2010-08-23,neutral
161,2010-08-24,neutral
162,2010-08-25,neutral
163,2010-08-26,neutral
164,2010-08-27,neutral
165,2010-08-30,neutral
166,2010-08-31,neutral
167,2010-09-01,neutral
168,2010-09-02,neutral
169,2010-09-03,neutral
170,2010-09-07,neutral
171,2010-09-08,neutral
172,2010-09-09,neutral
173,2010-09-10,neutral
174,2010-09-13,neutral
175,2010-09-14,neutral
176,2010-09-15,neutral
177,2010-09-16,neutral
178,2010-09-17,neutral
179,2010-09-20,neutral
180,2010-09-21,neutral
181,2010-09-22,neutral
182,2010-09-23,neutral
183,2010-09-24,neutral
184,2010-09-27,neutral
185,2010-09-28,neutral
186,2010-09-29,neutral
187,2010-09-30,neutral
188,2010-10-01,neutral
189,2010-10-04,neutral
190,2010-10-05,neutral
191,2010-10-06,neutral
192,2010-10-07,neutral
193,2010-10-08,neutral
194,2010-10-11,neutral
195,2010-10-12,neutral
196,2010-10-13,neutral
197,2010-10-14,neutral
198,2010-10-15,neutral
199,2010-10-18,bull
200,2010-10-19,neutral
201,2010-10-20,bull
202,2010-10-21,bull
203,2010-10-22,bull
204,2010-10-25,bull
205,2010-10-26,bull
206,2010-10-27,bull
207,2010-10-28,bull
208,2010-10-29,bull
209,2010-11-01,bull
210,2010-11-02,bull
211,2010-11-03,bull
212,2010-11-04,bull
213,2010-11-05,bull
214,2010-11-08,bull
215,2010-11-09,bull
216,2010-11-10,bull
217,2010-11-11,bull
218,2010-11-12,bull
219,2010-11-15,bull
220,2010-11-16,neutral
221,2010-11-17,neutral
222,2010-11-18,bull
223,2010-11-19,bull
224,2010-11-22,bull
225,2010-11-23,neutral
226,2010-11-24,bull
227,2010-11-26,bull
228,2010-11-29,neutral
229,2010-11-30,neutral
230,2010-12-01,bull
231,2010-12-02,bull
232,2010-12-03,bull
233,2010-12-06,bull
234,2010-12-07,bull
235,2010-12-08,bull
236,2010-12-09,bull
237,2010-12-10,bull
238,2010-12-13,bull
239,2010-12-14,bull
240,2010-12-15,bull
241,2010-12-16,bull
242,2010-12-17,bull
243,2010-12-20,bull
244,2010-12-21,bull
245,2010-12-22,bull
246,2010-12-23,bull
247,2010-12-27,bull
248,2010-12-28,bull
249,2010-12-29,bull
250,2010-12-30,bull
251,2010-12-31,bull
252,2011-01-03,bull
253,2011-01-04,bull
254,2011-01-05,bull
255,2011-01-06,bull
256,2011-01-07,bull
257,2011-01-10,bull
258,2011-01-11,bull
259,2011-01-12,bull
260,2011-01-13,bull
261,2011-01-14,bull
262,2011-01-18,bull
263,2011-01-19,bull
264,2011-01-20,bull
265,2011-01-21,bull
266,2011-01-24,bull
267,2011-01-25,bull
268,2011-01-26,bull
269,2011-01-27,bull
270,2011-01-28,bull
271,2011-01-31,bull
272,2011-02-01,bull
273,2011-02-02,bull
274,2011-02-03,bull
275,2011-02-04,bull
276,2011-02-07,bull
277,2011-02-08,bull
278,2011-02-09,bull
279,2011-02-10,bull
280,2011-02-11,bull
281,2011-02-14,bull
282,2011-02-15,bull
283,2011-02-16,bull
284,2011-02-17,bull
285,2011-02-18,bull
286,2011-02-22,bull
287,2011-02-23,bull
288,2011-02-24,bull
289,2011-02-25,bull
290,2011-02-28,bull
291,2011-03-01,bull
292,2011-03-02,bull
293,2011-03-03,bull
294,2011-03-04,bull
295,2011-03-07,bull
296,2011-03-08,bull
297,2011-03-09,bull
298,2011-03-10,bull
299,2011-03-11,bull
300,2011-03-14,bull
301,2011-03-15,bull
302,2011-03-16,bull
303,2011-03-17,bull
304,2011-03-18,bull
305,2011-03-21,bull
306,2011-03-22,bull
307,2011-03-23,bull
308,2011-03-24,bull
309,2011-03-25,bull
310,2011-03-28,bull
311,2011-03-29,bull
312,2011-03-30,bull
313,2011-03-31,bull
314,2011-04-01,bull
315,2011-04-04,bull
316,2011-04-05,bull
317,2011-04-06,bull
318,2011-04-07,bull
319,2011-04-08,bull
320,2011-04-11,bull
321,2011-04-12,bull
322,2011-04-13,bull
323,2011-04-14,bull
324,2011-04-15,bull
325,2011-04-18,bull
326,2011-04-19,bull
327,2011-04-20,bull
328,2011-04-21,bull
329,2011-04-25,bull
330,2011-04-26,bull
331,2011-04-27,bull
332,2011-04-28,bull
333,2011-04-29,bull
334,2011-05-02,bull
335,2011-05-03,bull
336,2011-05-04,bull
337,2011-05-05,bull
338,2011-05-06,bull
339,2011-05-09,bull
340,2011-05-10,bull
341,2011-05-11,bull
342,2011-05-12,bull
343,2011-05-13,bull
344,2011-05-16,bull
345,2011-05-17,bull
346,2011-05-18,bull
347,2011-05-19,bull
348,2011-05-20,bull
349,2011-05-23,bull
350,2011-05-24,bull
351,2011-05-25,bull
352,2011-05-26,bull
353,2011-05-27,bull
354,2011-05-31,bull
355,2011-06-01,bull
356,2011-06-02,bull
357,2011-06-03,neutral
358,2011-06-06,neutral
359,2011-06-07,neutral
360,2011-06-08,neutral
361,2011-06-09,neutral
362,2011-06-10,neutral
363,2011-06-13,neutral
364,2011-06-14,neutral
365,2011-06-15,neutral
366,2011-06-16,neutral
367,2011-06-17,neutral
368,2011-06-20,neutral
369,2011-06-21,neutral
370,2011-06-22,neutral
371,2011-06-23,neutral
372,2011-06-24,neutral
373,2011-06-27,neutral
