,DATE,cpi,unemployment,interest_rate
0,2010-01-01,217.488,9.8,
1,2010-01-04,217.488,9.8,3.85
2,2010-01-05,217.488,9.8,3.77
3,2010-01-06,217.488,9.8,3.85
4,2010-01-07,217.488,9.8,3.85
5,2010-01-08,217.488,9.8,3.83
6,2010-01-11,217.488,9.8,3.85
7,2010-01-12,217.488,9.8,3.74
8,2010-01-13,217.488,9.8,3.8
9,2010-01-14,217.488,9.8,3.76
10,2010-01-15,217.488,9.8,3.7
11,2010-01-18,217.488,9.8,3.7
12,2010-01-19,217.488,9.8,3.73
13,2010-01-20,217.488,9.8,3.68
14,2010-01-21,217.488,9.8,3.62
15,2010-01-22,217.488,9.8,3.62
16,2010-01-25,217.488,9.8,3.66
17,2010-01-26,217.488,9.8,3.65
18,2010-01-27,217.488,9.8,3.66
19,2010-01-28,217.488,9.8,3.68
20,2010-01-29,217.488,9.8,3.63
21,2010-02-01,217.281,9.8,3.68
22,2010-02-02,217.281,9.8,3.67
23,2010-02-03,217.281,9.8,3.73
24,2010-02-04,217.281,9.8,3.62
25,2010-02-05,217.281,9.8,3.59
26,2010-02-08,217.281,9.8,3.62
27,2010-02-09,217.281,9.8,3.67
28,2010-02-10,217.281,9.8,3.72
29,2010-02-11,217.281,9.8,3.73
30,2010-02-12,217.281,9.8,3.69
31,2010-02-15,217.281,9.8,3.69
32,2010-02-16,217.281,9.8,3.66
33,2010-02-17,217.281,9.8,3.74
34,2010-02-18,217.281,9.8,3.79
35,2010-02-19,217.281,9.8,3.78
36,2010-02-22,217.281,9.8,3.8
37,2010-02-23,217.281,9.8,3.69
38,2010-02-24,217.281,9.8,3.7
39,2010-02-25,217.281,9.8,3.64
40,2010-02-26,217.281,9.8,3.61
41,2010-03-01,217.353,9.9,3.61
42,2010-03-02,217.353,9.9,3.62
43,2010-03-03,217.353,9.9,3.63
44,2010-03-04,217.353,9.9,3.61
45,2010-03-05,217.353,9.9,3.69
46,2010-03-08,217.353,9.9,3.72
47,2010-03-09,217.353,9.9,3.71
48,2010-03-10,217.353,9.9,3.73
49,2010-03-11,217.353,9.9,3.73
50,2010-03-12,217.353,9.9,3.71
51,2010-03-15,217.353,9.9,3.71
52,2010-03-16,217.353,9.9,3.66
53,2010-03-17,217.353,9.9,3.65
54,2010-03-18,217.353,9.9,3.68
55,2010-03-19,217.353,9.9,3.7
56,2010-03-22,217.353,9.9,3.67
57,2010-03-23,217.353,9.9,3.69
58,2010-03-24,217.353,9.9,3.84
59,2010-03-25,217.353,9.9,3.91
60,2010-03-26,217.353,9.9,3.86
61,2010-03-29,217.353,9.9,3.88
62,2010-03-30,217.353,9.9,3.88
63,2010-03-31,217.353,9.9,3.84
64,2010-04-01,217.403,9.9,3.89
65,2010-04-02,217.403,9.9,3.96
66,2010-04-05,217.403,9.9,4.01
67,2010-04-06,217.403,9.9,3.98
68,2010-04-07,217.403,9.9,3.89
69,2010-04-08,217.403,9.9,3.91
70,2010-04-09,217.403,9.9,3.9
71,2010-04-12,217.403,9.9,3.87
72,2010-04-13,217.403,9.9,3.84
73,2010-04-14,217.403,9.9,3.88
74,2010-04-15,217.403,9.9,3.86
75,2010-04-16,217.403,9.9,3.79
76,2010-04-19,217.403,9.9,3.83
77,2010-04-20,217.403,9.9,3.82
78,2010-04-21,217.403,9.9,3.77
79,2010-04-22,217.403,9.9,3.8
80,2010-04-23,217.403,9.9,3.84
81,2010-04-26,217.403,9.9,3.83
82,2010-04-27,217.403,9.9,3.71
83,2010-04-28,217.403,9.9,3.8
84,2010-04-29,217.403,9.9,3.76
85,2010-04-30,217.403,9.9,3.69
86,2010-05-01,217.29,9.6,3.69
87,2010-05-03,217.29,9.6,3.72
88,2010-05-04,217.29,9.6,3.63
89,2010-05-05,217.29,9.6,3.58
90,2010-05-06,217.29,9.6,3.41
91,2010-05-07,217.29,9.6,3.45
92,2010-05-10,217.29,9.6,3.57
93,2010-05-11,217.29,9.6,3.56
94,2010-05-12,217.29,9.6,3.56
95,2010-05-13,217.29,9.6,3.55
96,2010-05-14,217.29,9.6,3.44
97,2010-05-17,217.29,9.6,3.47
98,2010-05-18,217.29,9.6,3.38
99,2010-05-19,217.29,9.6,3.36
100,2010-05-20,217.29,9.6,3.25
101,2010-05-21,217.29,9.6,3.2
102,2010-05-24,217.29,9.6,3.23
103,2010-05-25,217.29,9.6,3.18
104,2010-05-26,217.29,9.6,3.21
105,2010-05-27,217.29,9.6,3.34
106,2010-05-28,217.29,9.6,3.31
107,2010-05-31,217.29,9.6,3.31
108,2010-06-01,217.199,9.4,3.29
109,2010-06-02,217.199,9.4,3.35
110,2010-06-03,217.199,9.4,3.39
111,2010-06-04,217.199,9.4,3.2
112,2010-06-07,217.199,9.4,3.17
113,2010-06-08,217.199,9.4,3.18
114,2010-06-09,217.199,9.4,3.2
115,2010-06-10,217.199,9.4,3.33
116,2010-06-11,217.199,9.4,3.24
117,2010-06-14,217.199,9.4,3.28
118,2010-06-15,217.199,9.4,3.32
119,2010-06-16,217.199,9.4,3.27
120,2010-06-17,217.199,9.4,3.21
121,2010-06-18,217.199,9.4,3.24
122,2010-06-21,217.199,9.4,3.26
123,2010-06-22,217.199,9.4,3.18
124,2010-06-23,217.199,9.4,3.13
125,2010-06-24,217.199,9.4,3.14
126,2010-06-25,217.199,9.4,3.12
127,2010-06-28,217.199,9.4,3.05
128,2010-06-29,217.199,9.4,2.97
129,2010-06-30,217.199,9.4,2.97
130,2010-07-01,217.605,9.4,2.96
131,2010-07-02,217.605,9.4,3.0
132,2010-07-05,217.605,9.4,3.0
133,2010-07-06,217.605,9.4,2.95
134,2010-07-07,217.605,9.4,3.0
135,2010-07-08,217.605,9.4,3.04
136,2010-07-09,217.605,9.4,3.07
137,2010-07-12,217.605,9.4,3.08
138,2010-07-13,217.605,9.4,3.15
139,2010-07-14,217.605,9.4,3.07
140,2010-07-15,217.605,9.4,3.0
141,2010-07-16,217.605,9.4,2.96
142,2010-07-19,217.605,9.4,2.99
143,2010-07-20,217.605,9.4,2.98
144,2010-07-21,217.605,9.4,2.9
145,2010-07-22,217.605,9.4,2.96
146,2010-07-23,217.605,9.4,3.02
147,2010-07-26,217.605,9.4,3.03
148,2010-07-27,217.605,9.4,3.08
149,2010-07-28,217.605,9.4,3.03
150,2010-07-29,217.605,9.4,3.03
151,2010-07-30,217.605,9.4,2.94
152,2010-08-01,217.923,9.5,2.94
153,2010-08-02,217.923,9.5,2.99
154,2010-08-03,217.923,9.5,2.94
155,2010-08-04,217.923,9.5,2.98
156,2010-08-05,217.923,9.5,2.94
157,2010-08-06,217.923,9.5,2.86
158,2010-08-09,217.923,9.5,2.86
159,2010-08-10,217.923,9.5,2.79
160,2010-08-11,217.923,9.5,2.72
161,2010-08-12,217.923,9.5,2.74
162,2010-08-13,217.923,9.5,2.68
163,2010-08-16,217.923,9.5,2.58
164,2010-08-17,217.923,9.5,2.64
165,2010-08-18,217.923,9.5,2.64
166,2010-08-19,217.923,9.5,2.58
167,2010-08-20,217.923,9.5,2.62
168,2010-08-23,217.923,9.5,2.6
